Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	2	0	0
03-10-2020	10	0	0
03-11-2020	12	1	0
03-12-2020	23	1	0
03-13-2020	33	1	0
03-14-2020	38	1	0
03-15-2020	42	1	0
03-16-2020	51	1	0
03-17-2020	55	1	0
03-18-2020	59	2	0
03-19-2020	64	2	0
03-20-2020	70	2	0
03-21-2020	76	2	2
03-22-2020	89	2	2
03-23-2020	104	4	2
03-24-2020	123	5	10
03-25-2020	146	5	17
03-26-2020	174	6	17
03-27-2020	186	8	31
03-28-2020	197	10	31
03-29-2020	212	10	33
03-30-2020	223	11	44
04-01-2020	259	15	67
04-02-2020	277	16	76
04-03-2020	304	17	89
04-04-2020	333	20	99
04-05-2020	361	20	104
04-06-2020	377	21	116
04-07-2020	383	22	131
