Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	1	0	0
02-26-2020	1	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	3	0	0
03-03-2020	5	0	0
03-04-2020	12	0	0
03-05-2020	12	0	0
03-06-2020	17	0	0
03-07-2020	17	0	0
03-08-2020	19	0	0
03-09-2020	20	0	0
03-10-2020	20	0	0
03-11-2020	20	0	0
03-12-2020	24	1	8
03-13-2020	26	2	8
03-14-2020	37	3	12
03-15-2020	48	4	12
03-16-2020	54	4	12
03-17-2020	60	4	12
03-18-2020	74	7	12
03-19-2020	87	9	32
03-20-2020	90	11	32
03-21-2020	139	15	32
03-22-2020	201	17	65
03-23-2020	230	17	65
03-24-2020	264	19	24
03-25-2020	302	21	65
03-26-2020	367	25	29
03-27-2020	409	26	29
03-28-2020	454	29	31
03-29-2020	511	31	31
03-30-2020	584	35	37
04-01-2020	847	58	61
04-02-2020	986	86	61
04-03-2020	1171	105	62
04-04-2020	1251	130	90
04-05-2020	1320	152	90
04-06-2020	1423	173	90
04-07-2020	1468	193	113
