Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	2	0	0
03-07-2020	8	0	0
03-08-2020	12	1	0
03-09-2020	12	1	0
03-10-2020	17	1	0
03-11-2020	19	1	0
03-12-2020	19	1	0
03-13-2020	31	2	0
03-14-2020	34	2	1
03-15-2020	45	2	1
03-16-2020	56	2	1
03-17-2020	68	2	3
03-18-2020	79	2	3
03-19-2020	97	3	3
03-20-2020	128	3	3
03-21-2020	158	4	3
03-22-2020	266	4	27
03-23-2020	266	4	27
03-24-2020	387	6	52
03-25-2020	387	8	52
03-26-2020	502	9	63
03-27-2020	589	13	72
03-28-2020	690	18	72
03-29-2020	745	19	72
03-30-2020	820	23	228
04-01-2020	1054	28	248
04-02-2020	1133	36	256
04-03-2020	1265	39	266
04-04-2020	1451	43	279
04-05-2020	1451	44	280
04-06-2020	1554	48	325
04-07-2020	1628	56	338
