Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	1	0	0
03-10-2020	1	0	0
03-11-2020	1	0	0
03-12-2020	4	0	0
03-13-2020	8	0	0
03-14-2020	18	0	0
03-15-2020	26	0	0
03-16-2020	52	0	0
03-17-2020	78	0	1
03-18-2020	84	0	1
03-19-2020	115	0	1
03-20-2020	136	0	1
03-21-2020	160	0	1
03-22-2020	194	0	2
03-23-2020	235	0	2
03-24-2020	249	0	14
03-25-2020	265	0	16
03-26-2020	290	1	18
03-27-2020	329	1	28
03-28-2020	407	1	30
03-29-2020	424	3	30
03-30-2020	482	3	30
04-01-2020	571	4	31
04-02-2020	663	7	33
04-03-2020	736	7	43
04-04-2020	770	7	43
04-05-2020	822	7	57
04-06-2020	833	8	62
04-07-2020	853	8	87
