Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	4	0	0
01-26-2020	4	0	0
01-27-2020	5	0	0
01-28-2020	5	0	0
01-29-2020	5	0	0
01-30-2020	9	0	2
01-31-2020	9	0	2
02-01-2020	12	0	2
02-02-2020	12	0	2
02-03-2020	12	0	2
02-04-2020	13	0	2
02-05-2020	13	0	2
02-06-2020	14	0	2
02-07-2020	15	0	2
02-08-2020	15	0	2
02-09-2020	15	0	2
02-10-2020	15	0	2
02-11-2020	15	0	2
02-12-2020	15	0	2
02-13-2020	15	0	8
02-14-2020	15	0	8
02-15-2020	15	0	8
02-16-2020	15	0	8
02-17-2020	15	0	10
02-18-2020	15	0	10
02-19-2020	15	0	10
02-20-2020	15	0	10
02-21-2020	19	0	11
02-22-2020	22	0	11
02-23-2020	22	0	11
02-24-2020	22	0	11
02-25-2020	22	0	11
02-26-2020	22	0	11
02-27-2020	23	0	11
02-28-2020	23	0	11
02-29-2020	25	0	11
03-01-2020	27	1	11
03-02-2020	30	1	11
03-03-2020	39	1	11
03-04-2020	52	2	11
03-05-2020	55	2	21
03-06-2020	60	2	21
03-07-2020	63	2	21
03-08-2020	76	4	21
03-09-2020	91	4	21
03-10-2020	107	3	21
03-11-2020	128	3	21
03-12-2020	128	3	21
03-13-2020	200	3	23
03-14-2020	250	3	23
03-15-2020	297	3	23
03-16-2020	377	3	23
03-17-2020	452	5	23
03-18-2020	568	6	23
03-19-2020	681	6	26
03-20-2020	791	7	26
03-21-2020	1071	7	26
03-22-2020	1490	7	92
03-23-2020	1682	7	119
03-24-2020	2044	8	119
03-25-2020	2364	8	119
03-26-2020	2810	13	172
03-27-2020	3143	13	194
03-28-2020	3640	14	244
03-29-2020	3984	16	244
03-30-2020	4361	17	257
04-01-2020	4862	20	422
04-02-2020	5116	24	520
04-03-2020	5330	28	649
04-04-2020	5550	30	701
04-05-2020	5687	35	757
04-06-2020	5797	40	1080
04-07-2020	5895	45	1080
