Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	2	0	0
02-26-2020	2	0	0
02-27-2020	3	0	0
02-28-2020	3	0	0
02-29-2020	9	0	0
03-01-2020	14	0	0
03-02-2020	18	0	0
03-03-2020	21	0	0
03-04-2020	29	0	0
03-05-2020	41	0	0
03-06-2020	55	0	0
03-07-2020	79	0	0
03-08-2020	104	0	0
03-09-2020	131	0	2
03-10-2020	182	0	4
03-11-2020	246	0	4
03-12-2020	302	1	4
03-13-2020	504	1	6
03-14-2020	655	1	6
03-15-2020	860	1	6
03-16-2020	1018	3	6
03-17-2020	1332	3	1
03-18-2020	1646	4	9
03-19-2020	2013	6	9
03-20-2020	2388	6	9
03-21-2020	2814	8	9
03-22-2020	3580	16	9
03-23-2020	4474	21	9
03-24-2020	5283	28	9
03-25-2020	5588	30	9
03-26-2020	6909	49	112
03-27-2020	7657	58	225
03-28-2020	8271	68	225
03-29-2020	8788	86	479
03-30-2020	9618	108	636
04-01-2020	10711	146	1436
04-02-2020	11129	158	1749
04-03-2020	11524	168	2022
04-04-2020	11781	186	2507
04-05-2020	12051	204	2998
04-06-2020	12297	220	3463
04-07-2020	12639	243	4046
