Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	1	0	0
02-25-2020	23	0	0
02-26-2020	33	0	0
02-27-2020	33	0	0
02-28-2020	36	0	0
02-29-2020	41	0	0
03-01-2020	47	0	0
03-02-2020	49	0	0
03-03-2020	49	0	0
03-04-2020	52	0	0
03-05-2020	55	0	0
03-06-2020	60	0	4
03-07-2020	85	0	4
03-08-2020	85	0	4
03-09-2020	95	0	14
03-10-2020	110	0	22
03-11-2020	195	0	35
03-12-2020	195	0	35
03-13-2020	189	0	44
03-14-2020	210	0	44
03-15-2020	214	0	60
03-16-2020	214	1	77
03-17-2020	228	1	81
03-18-2020	256	1	88
03-19-2020	278	1	100
03-20-2020	285	1	100
03-21-2020	305	1	125
03-22-2020	334	2	149
03-23-2020	377	2	164
03-24-2020	392	3	177
03-25-2020	419	4	177
03-26-2020	458	4	204
03-27-2020	466	4	227
03-28-2020	476	4	265
03-29-2020	499	4	272
03-30-2020	515	4	279
04-01-2020	569	4	337
04-02-2020	643	4	381
04-03-2020	672	4	382
04-04-2020	688	4	423
04-05-2020	700	4	431
04-06-2020	756	4	458
04-07-2020	811	5	458
