Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	1	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	2	0	0
03-01-2020	2	0	0
03-02-2020	2	0	0
03-03-2020	2	0	0
03-04-2020	4	0	0
03-05-2020	4	0	0
03-06-2020	13	0	0
03-07-2020	13	0	0
03-08-2020	20	0	0
03-09-2020	25	0	0
03-10-2020	31	0	0
03-11-2020	38	0	0
03-12-2020	52	0	0
03-13-2020	151	0	0
03-14-2020	151	0	0
03-15-2020	162	0	0
03-16-2020	200	0	1
03-17-2020	321	1	2
03-18-2020	372	3	2
03-19-2020	621	6	2
03-20-2020	793	11	2
03-21-2020	1021	15	2
03-22-2020	1546	25	2
03-23-2020	1924	34	2
03-24-2020	2247	46	2
03-25-2020	2554	59	2
03-26-2020	2985	77	6
03-27-2020	3417	92	6
03-28-2020	3904	111	6
03-29-2020	4256	136	6
03-30-2020	4579	159	120
04-01-2020	6836	240	127
04-02-2020	8044	324	127
04-03-2020	9056	359	127
04-04-2020	10360	445	127
04-05-2020	11130	486	127
04-06-2020	12161	564	127
04-07-2020	14034	686	127
