Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	1	0	0
03-11-2020	2	0	0
03-12-2020	2	0	0
03-13-2020	2	0	0
03-14-2020	2	0	0
03-15-2020	3	0	0
03-16-2020	15	0	0
03-17-2020	15	0	0
03-18-2020	20	1	0
03-19-2020	33	1	0
03-20-2020	40	1	0
03-21-2020	64	2	5
03-22-2020	75	4	5
03-23-2020	99	4	5
03-24-2020	114	4	7
03-25-2020	146	4	10
03-26-2020	152	7	10
03-27-2020	180	9	12
03-28-2020	207	11	21
03-29-2020	222	12	23
03-30-2020	246	12	31
04-01-2020	282	16	46
04-02-2020	288	16	50
04-03-2020	302	16	50
04-04-2020	318	16	66
04-05-2020	345	17	90
04-06-2020	364	18	108
04-07-2020	384	19	127
