Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	1	0	0
01-28-2020	1	0	0
01-29-2020	1	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	1	0	0
02-10-2020	1	0	0
02-11-2020	1	0	0
02-12-2020	1	0	1
02-13-2020	1	0	1
02-14-2020	1	0	1
02-15-2020	1	0	1
02-16-2020	1	0	1
02-17-2020	1	0	1
02-18-2020	1	0	1
02-19-2020	1	0	1
02-20-2020	1	0	1
02-21-2020	1	0	1
02-22-2020	1	0	1
02-23-2020	1	0	1
02-24-2020	1	0	1
02-25-2020	1	0	1
02-26-2020	1	0	1
02-27-2020	1	0	1
02-28-2020	1	0	1
02-29-2020	1	0	1
03-01-2020	1	0	1
03-02-2020	1	0	1
03-03-2020	1	0	1
03-04-2020	1	0	1
03-05-2020	1	0	1
03-06-2020	1	0	1
03-07-2020	1	0	1
03-08-2020	2	0	1
03-09-2020	2	0	1
03-10-2020	2	0	1
03-11-2020	3	0	1
03-12-2020	3	0	1
03-13-2020	5	0	1
03-14-2020	7	0	1
03-15-2020	7	0	1
03-16-2020	7	0	1
03-17-2020	33	0	1
03-18-2020	35	0	1
03-19-2020	37	0	1
03-20-2020	51	0	1
03-21-2020	53	0	1
03-22-2020	84	0	2
03-23-2020	87	0	2
03-24-2020	91	0	4
03-25-2020	96	0	10
03-26-2020	96	0	10
03-27-2020	99	0	11
03-28-2020	99	0	13
03-29-2020	103	0	21
03-30-2020	107	0	21
04-01-2020	109	0	25
04-02-2020	110	0	34
04-03-2020	114	0	35
04-04-2020	114	0	50
04-05-2020	114	0	50
04-06-2020	114	0	53
04-07-2020	115	0	58
