Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	1	0	0
01-27-2020	1	0	0
01-28-2020	2	0	0
01-29-2020	2	0	0
01-30-2020	3	0	0
01-31-2020	3	0	0
02-01-2020	4	0	0
02-02-2020	4	0	0
02-03-2020	4	0	0
02-04-2020	4	0	0
02-05-2020	5	0	0
02-06-2020	5	0	0
02-07-2020	7	0	0
02-08-2020	7	0	0
02-09-2020	7	0	0
02-10-2020	7	0	0
02-11-2020	7	0	0
02-12-2020	7	0	1
02-13-2020	7	0	1
02-14-2020	7	0	1
02-15-2020	7	0	1
02-16-2020	7	0	1
02-17-2020	8	0	1
02-18-2020	8	0	1
02-19-2020	8	0	1
02-20-2020	8	0	1
02-21-2020	9	0	3
02-22-2020	9	0	3
02-23-2020	9	0	3
02-24-2020	10	0	3
02-25-2020	11	0	3
02-26-2020	11	0	3
02-27-2020	13	0	6
02-28-2020	14	0	6
02-29-2020	20	0	6
03-01-2020	24	0	6
03-02-2020	27	0	6
03-03-2020	30	0	6
03-04-2020	33	0	6
03-05-2020	37	0	6
03-06-2020	49	0	6
03-07-2020	54	0	8
03-08-2020	64	0	8
03-09-2020	76	1	8
03-10-2020	79	1	8
03-11-2020	108	1	8
03-12-2020	117	1	8
03-13-2020	193	1	8
03-14-2020	196	1	8
03-15-2020	250	1	8
03-16-2020	415	4	9
03-17-2020	478	5	9
03-18-2020	657	8	9
03-19-2020	800	9	9
03-20-2020	943	12	9
03-21-2020	1278	19	10
03-22-2020	1470	21	0
03-23-2020	2088	25	0
03-24-2020	2790	26	110
03-25-2020	3251	30	183
03-26-2020	4042	38	184
03-27-2020	4682	54	256
03-28-2020	5576	61	466
03-29-2020	6280	64	466
03-30-2020	7398	80	466
04-01-2020	9560	109	1324
04-02-2020	11284	139	1735
04-03-2020	12437	179	2175
04-04-2020	12978	218	2577
04-05-2020	15756	259	3012
04-06-2020	16563	339	3256
04-07-2020	17872	375	3791
