Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	1	0	0
03-10-2020	3	0	0
03-11-2020	9	0	0
03-12-2020	9	0	0
03-13-2020	13	0	0
03-14-2020	22	0	0
03-15-2020	34	0	0
03-16-2020	54	0	0
03-17-2020	65	0	1
03-18-2020	93	0	1
03-19-2020	102	0	1
03-20-2020	128	0	1
03-21-2020	196	0	1
03-22-2020	231	2	3
03-23-2020	277	3	3
03-24-2020	378	3	6
03-25-2020	470	4	8
03-26-2020	491	6	8
03-27-2020	539	6	10
03-28-2020	608	6	10
03-29-2020	702	10	10
03-30-2020	798	12	15
04-01-2020	1065	17	39
04-02-2020	1161	19	55
04-03-2020	1267	25	55
04-04-2020	1406	32	85
04-05-2020	1485	35	88
04-06-2020	1579	46	88
04-07-2020	1780	50	100
