Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	1	0	0
02-26-2020	3	0	0
02-27-2020	3	0	0
02-28-2020	5	0	0
02-29-2020	6	0	0
03-01-2020	7	0	0
03-02-2020	7	0	0
03-03-2020	9	0	0
03-04-2020	10	0	0
03-05-2020	10	0	0
03-06-2020	11	0	0
03-07-2020	12	0	0
03-08-2020	12	0	0
03-09-2020	12	0	0
03-10-2020	14	0	0
03-11-2020	19	0	0
03-12-2020	19	0	0
03-13-2020	32	0	1
03-14-2020	38	0	1
03-15-2020	49	0	1
03-16-2020	57	0	2
03-17-2020	65	0	4
03-18-2020	81	0	4
03-19-2020	105	1	5
03-20-2020	128	1	5
03-21-2020	206	1	5
03-22-2020	254	1	5
03-23-2020	315	1	5
03-24-2020	382	1	5
03-25-2020	442	1	22
03-26-2020	495	3	22
03-27-2020	586	3	37
03-28-2020	657	5	45
03-29-2020	713	6	52
03-30-2020	790	6	67
04-01-2020	963	6	73
04-02-2020	1011	7	88
04-03-2020	1079	8	92
04-04-2020	1126	12	119
04-05-2020	1182	15	125
04-06-2020	1222	16	130
04-07-2020	1282	18	167
