Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	91	0	0
03-12-2020	94	0	0
03-13-2020	141	0	0
03-14-2020	189	0	0
03-15-2020	253	0	0
03-16-2020	298	0	3
03-17-2020	396	0	3
03-18-2020	464	0	3
03-19-2020	694	0	3
03-20-2020	833	0	4
03-21-2020	995	0	6
03-22-2020	1120	1	6
03-23-2020	1236	1	7
03-24-2020	1394	3	10
03-25-2020	1654	6	10
03-26-2020	1925	9	10
03-27-2020	2279	9	11
03-28-2020	2631	11	11
03-29-2020	2817	16	11
03-30-2020	3001	23	25
04-01-2020	3508	39	61
04-02-2020	3858	44	67
04-03-2020	4091	53	72
04-04-2020	4472	59	78
04-05-2020	4587	67	96
04-06-2020	4822	78	121
04-07-2020	5017	88	172
