Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	1	0	0
02-15-2020	1	0	0
02-16-2020	1	0	0
02-17-2020	1	0	0
02-18-2020	1	0	0
02-19-2020	1	0	0
02-20-2020	1	0	0
02-21-2020	1	0	0
02-22-2020	1	0	0
02-23-2020	1	0	0
02-24-2020	1	0	0
02-25-2020	1	0	0
02-26-2020	1	0	0
02-27-2020	1	0	0
02-28-2020	1	0	1
02-29-2020	1	0	1
03-01-2020	2	0	1
03-02-2020	2	0	1
03-03-2020	2	0	1
03-04-2020	2	0	1
03-05-2020	3	0	1
03-06-2020	15	0	1
03-07-2020	15	0	1
03-08-2020	49	1	1
03-09-2020	55	1	12
03-10-2020	59	1	1
03-11-2020	60	1	27
03-12-2020	67	1	27
03-13-2020	80	2	27
03-14-2020	109	2	27
03-15-2020	110	2	21
03-16-2020	150	2	27
03-17-2020	196	4	32
03-18-2020	196	6	32
03-19-2020	256	6	32
03-20-2020	285	8	39
03-21-2020	294	10	41
03-22-2020	327	14	56
03-23-2020	366	19	68
03-24-2020	402	20	80
03-25-2020	456	21	95
03-26-2020	495	24	102
03-27-2020	536	30	116
03-28-2020	576	36	121
03-29-2020	609	40	132
03-30-2020	656	41	150
04-01-2020	779	52	179
04-02-2020	865	58	201
04-03-2020	985	66	216
04-04-2020	1070	71	241
04-05-2020	1173	78	247
04-06-2020	1322	85	259
04-07-2020	1450	94	276
