Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	1	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	1	0	0
02-10-2020	1	0	0
02-11-2020	1	0	0
02-12-2020	1	0	1
02-13-2020	1	0	1
02-14-2020	1	0	1
02-15-2020	1	0	1
02-16-2020	1	0	1
02-17-2020	1	0	1
02-18-2020	1	0	1
02-19-2020	1	0	1
02-20-2020	1	0	1
02-21-2020	1	0	1
02-22-2020	1	0	1
02-23-2020	1	0	1
02-24-2020	1	0	1
02-25-2020	1	0	1
02-26-2020	2	0	1
02-27-2020	2	0	1
02-28-2020	2	0	1
02-29-2020	3	0	1
03-01-2020	6	0	1
03-02-2020	6	0	1
03-03-2020	6	0	1
03-04-2020	6	0	1
03-05-2020	12	0	1
03-06-2020	15	0	1
03-07-2020	15	0	1
03-08-2020	23	0	1
03-09-2020	30	0	1
03-10-2020	40	0	1
03-11-2020	59	0	1
03-12-2020	59	0	1
03-13-2020	155	0	1
03-14-2020	225	0	1
03-15-2020	244	0	10
03-16-2020	277	0	10
03-17-2020	321	0	10
03-18-2020	336	0	10
03-19-2020	400	0	10
03-20-2020	450	0	10
03-21-2020	523	1	10
03-22-2020	626	1	10
03-23-2020	700	1	10
03-24-2020	792	1	10
03-25-2020	880	3	10
03-26-2020	958	5	10
03-27-2020	1041	7	10
03-28-2020	1167	9	10
03-29-2020	1240	11	10
03-30-2020	1352	13	10
04-01-2020	1446	17	10
04-02-2020	1518	19	300
04-03-2020	1615	20	300
04-04-2020	1882	25	300
04-05-2020	1927	28	300
04-06-2020	2176	27	300
04-07-2020	2308	34	300
