Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	2	0	0
01-25-2020	3	0	0
01-26-2020	3	0	0
01-27-2020	3	0	0
01-28-2020	4	0	0
01-29-2020	5	0	0
01-30-2020	5	0	0
01-31-2020	5	0	0
02-01-2020	6	0	0
02-02-2020	6	0	0
02-03-2020	6	0	0
02-04-2020	6	0	0
02-05-2020	6	0	0
02-06-2020	6	0	0
02-07-2020	6	0	0
02-08-2020	11	0	0
02-09-2020	11	0	0
02-10-2020	11	0	0
02-11-2020	11	0	0
02-12-2020	11	0	2
02-13-2020	11	0	2
02-14-2020	11	0	2
02-15-2020	12	1	4
02-16-2020	12	1	4
02-17-2020	12	1	4
02-18-2020	12	1	4
02-19-2020	12	1	4
02-20-2020	12	1	4
02-21-2020	12	1	4
02-22-2020	12	1	4
02-23-2020	12	1	4
02-24-2020	12	1	4
02-25-2020	14	1	11
02-26-2020	18	2	11
02-27-2020	38	2	11
02-28-2020	57	2	11
02-29-2020	100	2	12
03-01-2020	130	2	12
03-02-2020	191	3	12
03-03-2020	204	4	12
03-04-2020	285	4	12
03-05-2020	377	6	12
03-06-2020	653	9	12
03-07-2020	949	11	12
03-08-2020	1126	19	12
03-09-2020	1209	19	12
03-10-2020	1784	33	12
03-11-2020	2284	48	12
03-12-2020	2284	48	12
03-13-2020	3667	79	12
03-14-2020	4480	91	12
03-15-2020	4513	91	12
03-16-2020	6650	148	12
03-17-2020	7683	148	12
03-18-2020	9052	148	12
03-19-2020	10886	243	12
03-20-2020	12632	450	12
03-21-2020	14308	562	12
03-22-2020	16214	676	2201
03-23-2020	20123	862	2207
03-24-2020	22622	1102	3288
03-25-2020	25600	1333	3907
03-26-2020	29551	1698	4955
03-27-2020	33402	1997	5707
03-28-2020	38105	2317	5724
03-29-2020	40708	2611	7226
03-30-2020	45170	3030	7964
04-01-2020	57749	4043	11053
04-02-2020	59929	5398	12548
04-03-2020	65202	6520	14135
04-04-2020	90848	7574	15572
04-05-2020	93773	8093	16349
04-06-2020	98963	8926	17428
04-07-2020	110065	10343	19523
