Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	4	0	0
01-29-2020	4	0	0
01-30-2020	4	0	0
01-31-2020	5	0	0
02-01-2020	8	0	0
02-02-2020	10	0	0
02-03-2020	12	0	0
02-04-2020	12	0	0
02-05-2020	12	0	0
02-06-2020	12	0	0
02-07-2020	13	0	0
02-08-2020	13	0	0
02-09-2020	14	0	0
02-10-2020	14	0	0
02-11-2020	16	0	0
02-12-2020	16	0	0
02-13-2020	16	0	1
02-14-2020	16	0	1
02-15-2020	16	0	1
02-16-2020	16	0	1
02-17-2020	16	0	1
02-18-2020	16	0	12
02-19-2020	16	0	12
02-20-2020	16	0	12
02-21-2020	16	0	14
02-22-2020	16	0	14
02-23-2020	16	0	14
02-24-2020	16	0	14
02-25-2020	17	0	14
02-26-2020	27	0	15
02-27-2020	46	0	16
02-28-2020	48	0	16
02-29-2020	79	0	16
03-01-2020	130	0	16
03-02-2020	159	0	16
03-03-2020	196	0	16
03-04-2020	262	0	16
03-05-2020	482	0	16
03-06-2020	670	0	17
03-07-2020	799	0	18
03-08-2020	1040	0	18
03-09-2020	1176	2	18
03-10-2020	1457	2	18
03-11-2020	1908	3	25
03-12-2020	2078	3	25
03-13-2020	3675	7	46
03-14-2020	4585	9	46
03-15-2020	5795	11	46
03-16-2020	7272	17	67
03-17-2020	9257	24	67
03-18-2020	12327	28	105
03-19-2020	15320	44	113
03-20-2020	19848	67	180
03-21-2020	22213	84	233
03-22-2020	24873	94	266
03-23-2020	29056	123	453
03-24-2020	32986	157	3243
03-25-2020	37323	206	3547
03-26-2020	43938	267	5673
03-27-2020	50871	342	6658
03-28-2020	57695	433	8481
03-29-2020	62095	533	9211
03-30-2020	66885	645	13500
04-01-2020	77872	920	18700
04-02-2020	84794	1107	22440
04-03-2020	91159	1275	24575
04-04-2020	96092	1444	26400
04-05-2020	100123	1584	28700
04-06-2020	103374	1810	28700
04-07-2020	107663	2016	36081
