Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	2	0	0
03-12-2020	2	0	0
03-13-2020	2	0	0
03-14-2020	2	0	0
03-15-2020	3	0	0
03-16-2020	6	0	0
03-17-2020	8	0	0
03-18-2020	9	0	0
03-19-2020	12	0	0
03-20-2020	24	0	0
03-21-2020	24	0	0
03-22-2020	26	0	0
03-23-2020	27	0	0
03-24-2020	30	0	0
03-25-2020	36	0	0
03-26-2020	52	1	0
03-27-2020	68	1	0
03-28-2020	95	1	3
03-29-2020	110	3	3
03-30-2020	139	7	3
04-01-2020	172	10	3
04-02-2020	219	14	3
04-03-2020	222	15	3
04-04-2020	264	15	3
04-05-2020	268	22	6
04-06-2020	298	22	6
04-07-2020	305	22	6
