Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	2	0	0
01-24-2020	2	0	0
01-25-2020	5	0	0
01-26-2020	8	0	0
01-27-2020	8	0	0
01-28-2020	8	0	0
01-29-2020	10	0	0
01-30-2020	10	0	0
01-31-2020	12	0	0
02-01-2020	13	0	0
02-02-2020	15	0	0
02-03-2020	15	0	0
02-04-2020	17	1	0
02-05-2020	21	1	0
02-06-2020	24	1	0
02-07-2020	25	1	0
02-08-2020	26	1	0
02-09-2020	29	1	0
02-10-2020	38	1	0
02-11-2020	49	1	0
02-12-2020	50	1	1
02-13-2020	53	1	1
02-14-2020	56	1	1
02-15-2020	56	1	1
02-16-2020	57	1	2
02-17-2020	60	1	2
02-18-2020	62	1	2
02-19-2020	63	2	5
02-20-2020	68	2	6
02-21-2020	68	2	5
02-22-2020	69	2	6
02-23-2020	74	2	11
02-24-2020	79	2	19
02-25-2020	84	2	19
02-26-2020	91	2	24
02-27-2020	92	2	24
02-28-2020	94	2	30
02-29-2020	95	2	33
03-01-2020	96	2	36
03-02-2020	100	2	36
03-03-2020	100	2	37
03-04-2020	105	2	37
03-05-2020	105	2	43
03-06-2020	107	2	46
03-07-2020	108	2	51
03-08-2020	114	3	58
03-09-2020	115	3	59
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	0	0	0
03-17-2020	0	0	0
03-18-2020	0	0	0
03-19-2020	0	0	0
03-20-2020	0	0	0
03-21-2020	0	0	0
03-22-2020	0	0	0
03-23-2020	0	0	0
03-24-2020	0	0	0
03-25-2020	0	0	0
03-26-2020	0	0	0
03-27-2020	0	0	0
03-28-2020	0	0	0
03-29-2020	0	0	0
03-30-2020	0	0	0
04-01-2020	0	0	0
04-02-2020	0	0	0
04-03-2020	0	0	0
04-04-2020	0	0	0
04-05-2020	0	0	0
04-06-2020	0	0	0
04-07-2020	0	0	0
