Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	2	0	0
03-05-2020	2	0	0
03-06-2020	2	0	0
03-07-2020	4	0	0
03-08-2020	7	0	0
03-09-2020	9	0	0
03-10-2020	9	0	0
03-11-2020	13	0	0
03-12-2020	13	0	0
03-13-2020	19	0	0
03-14-2020	30	0	1
03-15-2020	32	1	1
03-16-2020	39	1	1
03-17-2020	50	1	2
03-18-2020	58	1	2
03-19-2020	73	1	2
03-20-2020	85	3	2
03-21-2020	103	4	7
03-22-2020	131	6	16
03-23-2020	167	7	16
03-24-2020	187	9	21
03-25-2020	226	10	21
03-26-2020	261	10	28
03-27-2020	300	10	34
03-28-2020	343	11	34
03-29-2020	408	13	34
03-30-2020	447	15	34
04-01-2020	525	20	40
04-02-2020	585	21	42
04-03-2020	623	26	43
04-04-2020	678	32	58
04-05-2020	733	34	66
04-06-2020	744	38	67
04-07-2020	817	47	71
