Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	3	0	0
03-02-2020	6	0	0
03-03-2020	11	0	0
03-04-2020	26	0	0
03-05-2020	34	0	0
03-06-2020	43	0	0
03-07-2020	50	0	0
03-08-2020	50	0	0
03-09-2020	58	0	0
03-10-2020	69	0	1
03-11-2020	85	0	1
03-12-2020	103	0	1
03-13-2020	134	0	1
03-14-2020	156	0	1
03-15-2020	171	5	8
03-16-2020	180	0	0
03-17-2020	220	1	0
03-18-2020	250	1	5
03-19-2020	330	1	5
03-20-2020	409	0	5
03-21-2020	473	1	22
03-22-2020	568	1	5
03-23-2020	588	1	51
03-24-2020	648	2	51
03-25-2020	737	2	56
03-26-2020	802	2	82
03-27-2020	890	2	97
03-28-2020	963	2	114
03-29-2020	1020	2	135
03-30-2020	1086	2	157
04-01-2020	1220	2	225
04-02-2020	1319	4	284
04-03-2020	1364	4	309
04-04-2020	1417	4	396
04-05-2020	1486	4	428
04-06-2020	1562	6	460
04-07-2020	1586	6	559
