Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	1	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	2	0	0
02-03-2020	3	0	0
02-04-2020	3	0	0
02-05-2020	3	0	0
02-06-2020	3	0	0
02-07-2020	3	0	0
02-08-2020	3	0	0
02-09-2020	3	0	0
02-10-2020	3	0	0
02-11-2020	3	0	0
02-12-2020	3	0	0
02-13-2020	3	0	0
02-14-2020	3	0	0
02-15-2020	3	0	0
02-16-2020	3	0	3
02-17-2020	3	0	3
02-18-2020	3	0	3
02-19-2020	3	0	3
02-20-2020	3	0	3
02-21-2020	3	0	3
02-22-2020	3	0	3
02-23-2020	3	0	3
02-24-2020	3	0	3
02-25-2020	3	0	3
02-26-2020	3	0	3
02-27-2020	3	0	3
02-28-2020	3	0	3
02-29-2020	3	0	3
03-01-2020	3	0	3
03-02-2020	5	0	3
03-03-2020	5	0	3
03-04-2020	28	0	3
03-05-2020	30	0	3
03-06-2020	31	0	3
03-07-2020	34	0	3
03-08-2020	39	0	3
03-09-2020	43	0	3
03-10-2020	56	0	4
03-11-2020	62	1	4
03-12-2020	73	1	4
03-13-2020	82	2	4
03-14-2020	102	2	4
03-15-2020	113	2	13
03-16-2020	119	2	13
03-17-2020	142	3	14
03-18-2020	156	3	14
03-19-2020	194	4	15
03-20-2020	244	5	20
03-21-2020	330	4	23
03-22-2020	396	7	24
03-23-2020	499	10	34
03-24-2020	536	10	40
03-25-2020	657	12	43
03-26-2020	727	20	45
03-27-2020	887	20	73
03-28-2020	987	24	84
03-29-2020	1024	27	95
03-30-2020	1251	32	102
04-01-2020	1998	58	148
04-02-2020	2543	72	191
04-03-2020	2567	72	192
04-04-2020	3082	86	229
04-05-2020	3588	99	229
04-06-2020	4778	136	375
04-07-2020	5311	150	421
