Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	1	0	0
02-25-2020	1	0	0
02-26-2020	5	0	0
02-27-2020	7	0	0
02-28-2020	7	0	0
02-29-2020	13	0	0
03-01-2020	19	0	0
03-02-2020	26	0	0
03-03-2020	32	0	0
03-04-2020	35	2	0
03-05-2020	35	2	0
03-06-2020	40	3	0
03-07-2020	54	4	0
03-08-2020	60	6	0
03-09-2020	60	6	9
03-10-2020	71	7	3
03-11-2020	71	7	15
03-12-2020	71	8	15
03-13-2020	101	9	24
03-14-2020	110	10	26
03-15-2020	116	10	26
03-16-2020	124	10	26
03-17-2020	154	11	32
03-18-2020	164	12	43
03-19-2020	192	13	43
03-20-2020	208	17	49
03-21-2020	214	17	51
03-22-2020	233	20	57
03-23-2020	266	23	62
03-24-2020	316	27	75
03-25-2020	346	29	103
03-26-2020	382	36	105
03-27-2020	458	40	122
03-28-2020	506	42	131
03-29-2020	547	42	143
03-30-2020	630	46	152
04-01-2020	728	52	182
04-02-2020	772	54	202
04-03-2020	820	54	226
04-04-2020	878	56	259
04-05-2020	961	61	279
04-06-2020	1031	64	344
04-07-2020	1122	65	373
