Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	2	0	0
03-04-2020	6	0	0
03-05-2020	6	0	0
03-06-2020	18	0	0
03-07-2020	18	0	0
03-08-2020	40	0	0
03-09-2020	21	0	0
03-10-2020	34	0	0
03-11-2020	43	1	0
03-12-2020	43	1	0
03-13-2020	90	1	0
03-14-2020	129	2	0
03-15-2020	129	2	0
03-16-2020	169	2	0
03-17-2020	223	2	5
03-18-2020	292	2	5
03-19-2020	557	3	5
03-20-2020	683	3	5
03-21-2020	785	3	5
03-22-2020	906	4	5
03-23-2020	1125	6	5
03-24-2020	1329	7	5
03-25-2020	1564	9	5
03-26-2020	1819	19	5
03-27-2020	2121	22	5
03-28-2020	2415	36	5
03-29-2020	2615	46	5
03-30-2020	2910	54	5
04-01-2020	3447	85	5
04-02-2020	3849	98	5
04-03-2020	4273	120	5
04-04-2020	4604	137	25
04-05-2020	4994	158	25
04-06-2020	5364	174	25
04-07-2020	5709	210	25
