Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	1	0	0
02-22-2020	1	0	0
02-23-2020	1	0	0
02-24-2020	1	0	0
02-25-2020	1	0	0
02-26-2020	2	0	0
02-27-2020	3	0	1
02-28-2020	4	0	1
02-29-2020	7	0	1
03-01-2020	10	0	1
03-02-2020	10	0	1
03-03-2020	12	0	1
03-04-2020	15	0	1
03-05-2020	16	0	1
03-06-2020	21	0	2
03-07-2020	21	0	2
03-08-2020	39	0	2
03-09-2020	39	0	2
03-10-2020	58	0	4
03-11-2020	109	0	4
03-12-2020	131	0	4
03-13-2020	161	0	4
03-14-2020	193	0	4
03-15-2020	251	0	4
03-16-2020	255	0	4
03-17-2020	337	0	11
03-18-2020	433	0	11
03-19-2020	677	0	11
03-20-2020	705	0	14
03-21-2020	883	1	36
03-22-2020	1071	1	37
03-23-2020	1442	1	41
03-24-2020	1930	3	53
03-25-2020	2369	5	58
03-26-2020	2693	8	68
03-27-2020	3035	12	79
03-28-2020	3619	12	89
03-29-2020	4247	15	132
03-30-2020	4695	16	161
04-01-2020	6092	26	241
04-02-2020	6857	36	338
04-03-2020	7428	40	403
04-04-2020	7851	44	427
04-05-2020	8430	49	477
04-06-2020	8904	57	585
04-07-2020	9248	65	770
