Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	2	0	0
02-01-2020	2	0	0
02-02-2020	2	0	0
02-03-2020	2	0	0
02-04-2020	2	0	0
02-05-2020	2	0	0
02-06-2020	2	0	0
02-07-2020	3	0	0
02-08-2020	3	0	0
02-09-2020	3	0	0
02-10-2020	3	0	0
02-11-2020	3	0	0
02-12-2020	3	0	0
02-13-2020	3	0	0
02-14-2020	3	0	0
02-15-2020	3	0	0
02-16-2020	3	0	0
02-17-2020	3	0	0
02-18-2020	3	0	0
02-19-2020	3	0	0
02-20-2020	3	0	0
02-21-2020	20	1	0
02-22-2020	62	2	1
02-23-2020	155	3	2
02-24-2020	229	7	1
02-25-2020	322	10	1
02-26-2020	453	12	3
02-27-2020	655	17	45
02-28-2020	888	21	46
02-29-2020	1128	29	46
03-01-2020	1694	34	83
03-02-2020	2036	52	149
03-03-2020	2502	79	160
03-04-2020	3089	107	276
03-05-2020	3858	148	414
03-06-2020	4636	197	523
03-07-2020	5883	233	589
03-08-2020	7375	366	622
03-09-2020	9172	463	724
03-10-2020	10149	631	724
03-11-2020	12462	827	1045
03-12-2020	12462	827	1045
03-13-2020	17660	1266	1439
03-14-2020	21157	1441	1966
03-15-2020	24747	1809	2335
03-16-2020	27980	2158	2749
03-17-2020	31506	2503	2941
03-18-2020	35713	2978	4025
03-19-2020	41035	3405	4440
03-20-2020	47021	4032	4440
03-21-2020	53578	4825	6072
03-22-2020	59138	5476	7024
03-23-2020	63927	6077	7432
03-24-2020	69176	6820	8326
03-25-2020	74386	7503	9362
03-26-2020	80589	8215	10361
03-27-2020	86498	9134	10950
03-28-2020	92472	10023	12384
03-29-2020	97689	10779	13030
03-30-2020	101739	11591	14620
04-01-2020	110574	13155	16847
04-02-2020	115242	13915	18278
04-03-2020	119827	14681	19758
04-04-2020	124632	15362	20996
04-05-2020	128948	15887	21815
04-06-2020	132547	16523	22837
04-07-2020	135586	17127	24392
