Date	Confirmed	Deaths	Recovered
01-22-2020	2	0	0
01-23-2020	1	0	0
01-24-2020	2	0	0
01-25-2020	2	0	0
01-26-2020	4	0	1
01-27-2020	4	0	1
01-28-2020	7	0	1
01-29-2020	7	0	1
01-30-2020	11	0	1
01-31-2020	15	0	1
02-01-2020	20	0	1
02-02-2020	20	0	1
02-03-2020	20	0	1
02-04-2020	22	0	1
02-05-2020	22	0	1
02-06-2020	45	0	1
02-07-2020	25	0	1
02-08-2020	25	0	1
02-09-2020	26	0	1
02-10-2020	26	0	4
02-11-2020	26	0	9
02-12-2020	28	0	9
02-13-2020	28	1	9
02-14-2020	29	1	9
02-15-2020	43	1	12
02-16-2020	59	1	12
02-17-2020	66	1	12
02-18-2020	74	1	13
02-19-2020	84	1	18
02-20-2020	94	1	18
02-21-2020	105	1	22
02-22-2020	122	1	22
02-23-2020	147	1	22
02-24-2020	159	1	22
02-25-2020	170	1	22
02-26-2020	189	2	22
02-27-2020	214	4	22
02-28-2020	228	4	22
02-29-2020	241	5	32
03-01-2020	256	6	32
03-02-2020	274	6	32
03-03-2020	293	6	43
03-04-2020	331	6	43
03-05-2020	360	6	43
03-06-2020	420	6	46
03-07-2020	461	6	76
03-08-2020	502	6	76
03-09-2020	511	17	76
03-10-2020	581	10	101
03-11-2020	639	15	118
03-12-2020	639	16	118
03-13-2020	701	19	118
03-14-2020	773	22	118
03-15-2020	839	22	118
03-16-2020	825	27	144
03-17-2020	878	29	144
03-18-2020	889	29	144
03-19-2020	924	29	150
03-20-2020	963	33	191
03-21-2020	1007	35	232
03-22-2020	1086	36	235
03-23-2020	1128	42	235
03-24-2020	1193	43	285
03-25-2020	1307	45	310
03-26-2020	1387	47	359
03-27-2020	1468	49	372
03-28-2020	1693	52	404
03-29-2020	1866	54	424
03-30-2020	1866	54	424
04-01-2020	2178	57	472
04-02-2020	2495	62	472
04-03-2020	2617	63	514
04-04-2020	3139	77	514
04-05-2020	3139	77	514
04-06-2020	3654	85	575
04-07-2020	3906	92	592
