Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	1	0	0
02-25-2020	11	0	0
02-26-2020	26	0	0
02-27-2020	43	0	0
02-28-2020	45	0	0
02-29-2020	45	0	0
03-01-2020	45	0	0
03-02-2020	56	0	0
03-03-2020	56	0	0
03-04-2020	56	0	0
03-05-2020	58	0	0
03-06-2020	58	0	0
03-07-2020	61	0	0
03-08-2020	64	0	1
03-09-2020	64	0	1
03-10-2020	69	0	1
03-11-2020	72	0	2
03-12-2020	80	0	5
03-13-2020	80	0	5
03-14-2020	104	0	5
03-15-2020	112	0	5
03-16-2020	123	0	9
03-17-2020	130	0	9
03-18-2020	142	0	15
03-19-2020	148	0	18
03-20-2020	159	0	18
03-21-2020	176	0	27
03-22-2020	188	0	30
03-23-2020	189	0	30
03-24-2020	191	0	39
03-25-2020	195	0	43
03-26-2020	208	0	49
03-27-2020	225	0	57
03-28-2020	235	0	64
03-29-2020	255	0	67
03-30-2020	266	0	72
04-01-2020	317	0	80
04-02-2020	342	0	81
04-03-2020	417	0	82
04-04-2020	479	1	93
04-05-2020	556	1	99
04-06-2020	665	1	103
04-07-2020	743	1	105
