Date	Confirmed	Deaths	Recovered
01-22-2020	1	0	0
01-23-2020	2	0	0
01-24-2020	2	0	0
01-25-2020	2	0	0
01-26-2020	5	0	0
01-27-2020	6	0	0
01-28-2020	7	0	0
01-29-2020	7	0	0
01-30-2020	7	0	0
01-31-2020	7	0	0
02-01-2020	7	0	0
02-02-2020	8	0	0
02-03-2020	8	0	0
02-04-2020	10	0	0
02-05-2020	10	0	0
02-06-2020	10	0	1
02-07-2020	10	0	1
02-08-2020	10	0	1
02-09-2020	10	0	1
02-10-2020	10	0	1
02-11-2020	10	0	1
02-12-2020	10	0	2
02-13-2020	10	0	3
02-14-2020	10	0	3
02-15-2020	10	0	3
02-16-2020	10	0	5
02-17-2020	10	0	5
02-18-2020	10	0	5
02-19-2020	10	0	5
02-20-2020	10	0	6
02-21-2020	10	0	6
02-22-2020	10	0	6
02-23-2020	10	0	6
02-24-2020	10	0	6
02-25-2020	10	0	7
02-26-2020	10	0	7
02-27-2020	10	0	8
02-28-2020	10	0	8
02-29-2020	10	0	8
03-01-2020	10	0	8
03-02-2020	10	0	8
03-03-2020	10	0	9
03-04-2020	10	0	9
03-05-2020	10	0	9
03-06-2020	10	0	10
03-07-2020	10	0	10
03-08-2020	10	0	10
03-09-2020	10	0	10
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	0	0	0
03-17-2020	0	0	0
03-18-2020	0	0	0
03-19-2020	0	0	0
03-20-2020	0	0	0
03-21-2020	0	0	0
03-22-2020	0	0	0
03-23-2020	0	0	0
03-24-2020	0	0	0
03-25-2020	0	0	0
03-26-2020	0	0	0
03-27-2020	0	0	0
03-28-2020	0	0	0
03-29-2020	0	0	0
03-30-2020	0	0	0
04-01-2020	0	0	0
04-02-2020	0	0	0
04-03-2020	0	0	0
04-04-2020	0	0	0
04-05-2020	0	0	0
04-06-2020	0	0	0
04-07-2020	0	0	0
