Date	Confirmed	Deaths	Recovered
01-22-2020	547	17	28
01-23-2020	639	18	30
01-24-2020	916	26	36
01-25-2020	1399	42	39
01-26-2020	2062	56	49
01-27-2020	2863	82	58
01-28-2020	5494	131	101
01-29-2020	6070	133	120
01-30-2020	8124	171	135
01-31-2020	9783	213	214
02-01-2020	11871	259	275
02-02-2020	16607	361	463
02-03-2020	19693	425	614
02-04-2020	23680	490	843
02-05-2020	27409	562	1115
02-06-2020	30553	632	1476
02-07-2020	34075	717	1998
02-08-2020	36778	804	2595
02-09-2020	39790	904	3218
02-10-2020	42306	1011	3917
02-11-2020	44327	1111	4635
02-12-2020	44699	1116	5079
02-13-2020	59832	1368	6213
02-14-2020	66292	1520	7973
02-15-2020	68347	1662	9294
02-16-2020	70446	1765	10748
02-17-2020	72364	1863	12455
02-18-2020	74139	2002	14199
02-19-2020	74546	2114	15952
02-20-2020	74999	2236	18002
02-21-2020	75472	2236	18693
02-22-2020	76922	2441	22687
02-23-2020	76938	2443	23170
02-24-2020	77152	2593	24990
02-25-2020	77660	2663	27650
02-26-2020	78065	2715	30053
02-27-2020	78498	2744	32898
02-28-2020	78824	2788	36291
02-29-2020	79251	2835	39279
03-01-2020	79826	2870	42118
03-02-2020	80026	2912	44810
03-03-2020	80151	2945	47404
03-04-2020	80271	2981	49955
03-05-2020	80422	3013	52240
03-06-2020	80573	3042	53888
03-07-2020	80652	3070	55478
03-08-2020	80699	3097	57320
03-09-2020	80735	3120	58735
03-10-2020	80757	3136	60106
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	0	0	0
03-15-2020	0	0	0
03-16-2020	0	0	0
03-17-2020	0	0	0
03-18-2020	0	0	0
03-19-2020	0	0	0
03-20-2020	0	0	0
03-21-2020	0	0	0
03-22-2020	0	0	0
03-23-2020	0	0	0
03-24-2020	0	0	0
03-25-2020	0	0	0
03-26-2020	0	0	0
03-27-2020	0	0	0
03-28-2020	0	0	0
03-29-2020	0	0	0
03-30-2020	0	0	0
04-01-2020	0	0	0
04-02-2020	0	0	0
04-03-2020	0	0	0
04-04-2020	0	0	0
04-05-2020	0	0	0
04-06-2020	0	0	0
04-07-2020	0	0	0
