Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	3	0	0
01-26-2020	4	0	0
01-27-2020	4	0	0
01-28-2020	4	0	0
01-29-2020	7	0	0
01-30-2020	8	0	0
01-31-2020	8	0	0
02-01-2020	8	0	0
02-02-2020	8	0	0
02-03-2020	8	0	0
02-04-2020	10	0	0
02-05-2020	12	0	0
02-06-2020	12	0	0
02-07-2020	12	0	1
02-08-2020	16	0	1
02-09-2020	16	0	1
02-10-2020	18	0	1
02-11-2020	18	0	3
02-12-2020	18	0	3
02-13-2020	19	0	3
02-14-2020	19	0	3
02-15-2020	22	0	7
02-16-2020	22	0	7
02-17-2020	22	0	7
02-18-2020	22	0	13
02-19-2020	22	0	15
02-20-2020	22	0	15
02-21-2020	22	0	15
02-22-2020	22	0	15
02-23-2020	22	0	15
02-24-2020	22	0	18
02-25-2020	22	0	18
02-26-2020	22	0	18
02-27-2020	23	0	18
02-28-2020	23	0	18
02-29-2020	25	0	18
03-01-2020	29	0	18
03-02-2020	29	0	18
03-03-2020	36	0	22
03-04-2020	50	0	22
03-05-2020	50	0	22
03-06-2020	83	0	22
03-07-2020	93	0	23
03-08-2020	99	0	24
03-09-2020	117	0	24
03-10-2020	129	0	24
03-11-2020	149	0	26
03-12-2020	149	0	26
03-13-2020	197	0	26
03-14-2020	238	0	35
03-15-2020	428	0	42
03-16-2020	566	0	42
03-17-2020	673	2	49
03-18-2020	790	2	60
03-19-2020	900	2	75
03-20-2020	1030	3	87
03-21-2020	1183	4	114
03-22-2020	1306	10	139
03-23-2020	1518	14	159
03-24-2020	1624	16	183
03-25-2020	1796	20	199
03-26-2020	2031	23	215
03-27-2020	2161	26	259
03-28-2020	2320	27	320
03-29-2020	2470	35	388
03-30-2020	2626	37	479
04-01-2020	2908	45	645
04-02-2020	3116	50	767
04-03-2020	3333	53	827
04-04-2020	3483	57	915
04-05-2020	3662	61	1005
04-06-2020	3793	62	1241
04-07-2020	3963	63	1321
