Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	3	0	0
03-08-2020	3	0	0
03-09-2020	3	0	0
03-10-2020	5	0	0
03-11-2020	6	0	0
03-12-2020	6	0	0
03-13-2020	12	0	1
03-14-2020	18	0	1
03-15-2020	21	0	1
03-16-2020	30	0	2
03-17-2020	38	0	2
03-18-2020	38	0	2
03-19-2020	53	0	2
03-20-2020	64	0	2
03-21-2020	73	0	2
03-22-2020	90	0	2
03-23-2020	107	0	2
03-24-2020	110	0	2
03-25-2020	129	0	2
03-26-2020	134	0	2
03-27-2020	139	0	2
03-28-2020	149	0	2
03-29-2020	151	0	2
03-30-2020	156	0	2
04-01-2020	188	0	2
04-02-2020	196	0	2
04-03-2020	202	0	2
04-04-2020	213	0	2
04-05-2020	227	0	5
04-06-2020	241	0	5
04-07-2020	293	0	5
