Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	1	0	0
02-29-2020	4	0	0
03-01-2020	5	0	0
03-02-2020	5	0	0
03-03-2020	5	0	1
03-04-2020	5	0	1
03-05-2020	5	0	1
03-06-2020	6	0	1
03-07-2020	6	0	1
03-08-2020	7	0	1
03-09-2020	7	0	1
03-10-2020	7	0	4
03-11-2020	8	0	4
03-12-2020	12	0	4
03-13-2020	12	0	4
03-14-2020	26	0	4
03-15-2020	41	0	4
03-16-2020	53	0	4
03-17-2020	82	0	4
03-18-2020	93	0	4
03-19-2020	118	1	4
03-20-2020	164	1	4
03-21-2020	203	2	4
03-22-2020	251	2	4
03-23-2020	316	3	4
03-24-2020	367	4	4
03-25-2020	405	5	4
03-26-2020	475	6	4
03-27-2020	585	8	4
03-28-2020	717	12	4
03-29-2020	848	16	4
03-30-2020	993	20	35
04-01-2020	1215	29	35
04-02-2020	1378	37	35
04-03-2020	1510	50	633
04-04-2020	1688	60	633
04-05-2020	1890	79	633
04-06-2020	2143	94	633
04-07-2020	2439	125	633
