Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	2	0	0
03-06-2020	2	0	0
03-07-2020	2	0	0
03-08-2020	2	0	0
03-09-2020	2	0	0
03-10-2020	3	1	0
03-11-2020	5	1	0
03-12-2020	6	1	0
03-13-2020	7	1	1
03-14-2020	17	1	1
03-15-2020	28	1	1
03-16-2020	29	1	1
03-17-2020	38	2	1
03-18-2020	49	2	1
03-19-2020	63	2	1
03-20-2020	77	3	1
03-21-2020	96	3	3
03-22-2020	115	4	3
03-23-2020	143	4	5
03-24-2020	170	5	6
03-25-2020	225	6	7
03-26-2020	275	11	8
03-27-2020	345	23	11
03-28-2020	402	25	11
03-29-2020	479	26	13
03-30-2020	556	33	15
04-01-2020	654	39	29
04-02-2020	708	44	31
04-03-2020	791	48	57
04-04-2020	919	59	66
04-05-2020	1021	70	76
04-06-2020	1120	80	81
04-07-2020	1184	90	93
