Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	3	0	0
03-05-2020	3	0	0
03-06-2020	4	0	0
03-07-2020	5	0	0
03-08-2020	5	0	0
03-09-2020	5	0	0
03-10-2020	5	0	0
03-11-2020	5	0	0
03-12-2020	5	0	0
03-13-2020	5	0	0
03-14-2020	6	0	0
03-15-2020	8	0	0
03-16-2020	8	0	0
03-17-2020	12	0	0
03-18-2020	20	0	0
03-19-2020	28	0	0
03-20-2020	39	0	0
03-21-2020	52	0	0
03-22-2020	102	0	0
03-23-2020	102	0	0
03-24-2020	155	0	12
03-25-2020	205	0	22
03-26-2020	283	0	27
03-27-2020	368	0	37
03-28-2020	451	0	50
03-29-2020	514	1	56
03-30-2020	589	1	63
04-01-2020	708	1	83
04-02-2020	797	1	92
04-03-2020	868	1	103
04-04-2020	950	1	127
04-05-2020	1039	1	156
04-06-2020	1106	1	176
04-07-2020	1160	1	241
