Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	1	0	0
02-27-2020	1	0	0
02-28-2020	6	0	0
02-29-2020	15	0	0
03-01-2020	19	0	0
03-02-2020	25	0	0
03-03-2020	32	0	0
03-04-2020	56	0	0
03-05-2020	87	0	0
03-06-2020	108	0	0
03-07-2020	147	0	0
03-08-2020	176	0	0
03-09-2020	205	0	1
03-10-2020	400	0	1
03-11-2020	598	0	1
03-12-2020	702	0	1
03-13-2020	996	0	1
03-14-2020	1090	3	1
03-15-2020	1221	3	1
03-16-2020	1333	3	1
03-17-2020	1463	3	1
03-18-2020	1550	6	1
03-19-2020	1746	7	1
03-20-2020	1914	7	1
03-21-2020	2118	7	1
03-22-2020	2263	7	6
03-23-2020	2621	10	6
03-24-2020	2863	12	6
03-25-2020	3084	14	6
03-26-2020	3369	14	6
03-27-2020	3755	19	6
03-28-2020	4015	23	7
03-29-2020	4284	25	7
03-30-2020	4445	32	12
04-01-2020	4863	44	13
04-02-2020	5147	50	32
04-03-2020	5370	59	32
04-04-2020	5550	62	32
04-05-2020	5687	71	32
04-06-2020	5865	76	32
04-07-2020	6086	89	32
