Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	2	0	0
02-25-2020	2	0	0
02-26-2020	4	0	0
02-27-2020	4	0	0
02-28-2020	4	0	0
02-29-2020	6	0	1
03-01-2020	6	0	1
03-02-2020	6	0	1
03-03-2020	12	0	2
03-04-2020	15	0	2
03-05-2020	16	0	2
03-06-2020	16	0	2
03-07-2020	16	0	2
03-08-2020	16	0	2
03-09-2020	16	0	2
03-10-2020	18	0	9
03-11-2020	18	0	9
03-12-2020	18	0	9
03-13-2020	19	0	9
03-14-2020	19	0	9
03-15-2020	22	0	9
03-16-2020	22	0	9
03-17-2020	24	0	9
03-18-2020	39	0	12
03-19-2020	48	0	12
03-20-2020	48	0	12
03-21-2020	52	0	12
03-22-2020	55	0	17
03-23-2020	66	0	17
03-24-2020	84	0	17
03-25-2020	99	0	17
03-26-2020	109	0	23
03-27-2020	131	0	23
03-28-2020	152	0	23
03-29-2020	167	0	23
03-30-2020	179	0	29
04-01-2020	210	1	34
04-02-2020	231	1	57
04-03-2020	252	1	57
04-04-2020	277	2	61
04-05-2020	298	2	61
04-06-2020	331	2	61
04-07-2020	371	2	67
