Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	6	0	0
03-09-2020	7	0	0
03-10-2020	11	0	0
03-11-2020	11	0	0
03-12-2020	15	0	0
03-13-2020	28	0	0
03-14-2020	38	0	0
03-15-2020	43	0	0
03-16-2020	86	0	0
03-17-2020	117	0	1
03-18-2020	145	0	1
03-19-2020	234	0	1
03-20-2020	234	3	1
03-21-2020	318	5	1
03-22-2020	363	5	1
03-23-2020	395	5	1
03-24-2020	416	7	1
03-25-2020	480	9	1
03-26-2020	580	9	14
03-27-2020	635	11	16
03-28-2020	671	16	16
03-29-2020	852	18	16
03-30-2020	950	24	53
04-01-2020	1323	38	394
04-02-2020	1414	55	537
04-03-2020	1595	61	537
04-04-2020	1746	73	914
04-05-2020	2281	83	989
04-06-2020	2561	92	997
04-07-2020	2954	107	1301
