Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	2	0	0
03-03-2020	2	0	0
03-04-2020	5	0	0
03-05-2020	8	0	0
03-06-2020	13	0	0
03-07-2020	20	0	0
03-08-2020	30	0	0
03-09-2020	30	0	0
03-10-2020	41	0	0
03-11-2020	59	0	0
03-12-2020	59	0	0
03-13-2020	112	0	1
03-14-2020	169	0	2
03-15-2020	245	0	2
03-16-2020	331	0	3
03-17-2020	448	1	3
03-18-2020	448	2	3
03-19-2020	785	3	3
03-20-2020	1020	6	5
03-21-2020	1280	12	5
03-22-2020	1600	14	5
03-23-2020	2060	23	14
03-24-2020	2362	33	22
03-25-2020	2995	43	22
03-26-2020	3544	60	43
03-27-2020	4268	76	43
03-28-2020	5170	100	43
03-29-2020	5962	119	43
03-30-2020	6408	140	43
04-01-2020	8251	187	43
04-02-2020	9034	209	68
04-03-2020	9886	246	68
04-04-2020	10524	266	75
04-05-2020	11278	295	75
04-06-2020	11730	311	140
04-07-2020	12442	345	184
