Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	1	0	0
03-01-2020	3	0	0
03-02-2020	3	0	0
03-03-2020	7	0	0
03-04-2020	8	0	0
03-05-2020	8	0	0
03-06-2020	8	0	0
03-07-2020	8	0	0
03-08-2020	15	0	0
03-09-2020	18	0	0
03-10-2020	24	0	0
03-11-2020	262	0	0
03-12-2020	262	0	0
03-13-2020	320	0	0
03-14-2020	337	0	4
03-15-2020	401	0	4
03-16-2020	439	0	4
03-17-2020	439	0	4
03-18-2020	452	0	4
03-19-2020	460	0	4
03-20-2020	470	0	10
03-21-2020	481	0	27
03-22-2020	494	0	33
03-23-2020	501	0	33
03-24-2020	526	0	41
03-25-2020	537	0	41
03-26-2020	549	0	43
03-27-2020	562	0	43
03-28-2020	590	1	45
03-29-2020	634	1	48
03-30-2020	693	1	51
04-01-2020	835	2	71
04-02-2020	949	3	72
04-03-2020	1075	3	93
04-04-2020	1325	3	109
04-05-2020	1604	4	123
04-06-2020	1832	4	131
04-07-2020	2057	6	150
