Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	2	0	0
02-01-2020	2	0	0
02-02-2020	2	0	0
02-03-2020	2	0	0
02-04-2020	2	0	0
02-05-2020	2	0	0
02-06-2020	2	0	0
02-07-2020	2	0	0
02-08-2020	2	0	0
02-09-2020	2	0	0
02-10-2020	2	0	0
02-11-2020	2	0	0
02-12-2020	2	0	2
02-13-2020	2	0	2
02-14-2020	2	0	2
02-15-2020	2	0	2
02-16-2020	2	0	2
02-17-2020	2	0	2
02-18-2020	2	0	2
02-19-2020	2	0	2
02-20-2020	2	0	2
02-21-2020	2	0	2
02-22-2020	2	0	2
02-23-2020	2	0	2
02-24-2020	2	0	2
02-25-2020	2	0	2
02-26-2020	2	0	2
02-27-2020	2	0	2
02-28-2020	2	0	2
02-29-2020	2	0	2
03-01-2020	2	0	2
03-02-2020	3	0	2
03-03-2020	3	0	2
03-04-2020	3	0	2
03-05-2020	4	0	2
03-06-2020	13	0	2
03-07-2020	13	0	2
03-08-2020	17	0	3
03-09-2020	17	0	3
03-10-2020	10	0	3
03-11-2020	20	0	3
03-12-2020	28	0	3
03-13-2020	45	0	3
03-14-2020	59	0	8
03-15-2020	63	0	8
03-16-2020	90	0	8
03-17-2020	114	0	8
03-18-2020	147	0	8
03-19-2020	199	1	9
03-20-2020	253	1	9
03-21-2020	306	1	12
03-22-2020	367	1	16
03-23-2020	438	1	17
03-24-2020	495	1	22
03-25-2020	658	3	29
03-26-2020	840	3	38
03-27-2020	1036	4	45
03-28-2020	1264	4	49
03-29-2020	1534	8	64
03-30-2020	1836	9	66
04-01-2020	2777	24	190
04-02-2020	3548	30	235
04-03-2020	4149	34	281
04-04-2020	4731	43	333
04-05-2020	5389	45	355
04-06-2020	6343	47	406
04-07-2020	7497	58	494
