Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	8	0	0
03-03-2020	10	1	0
03-04-2020	16	1	0
03-05-2020	21	1	0
03-06-2020	21	1	0
03-07-2020	23	1	0
03-08-2020	36	1	0
03-09-2020	36	1	0
03-10-2020	51	2	0
03-11-2020	62	2	0
03-12-2020	69	3	0
03-13-2020	80	5	0
03-14-2020	80	5	4
03-15-2020	101	5	4
03-16-2020	109	7	4
03-17-2020	109	7	4
03-18-2020	119	11	4
03-19-2020	119	11	4
03-20-2020	144	14	4
03-21-2020	144	20	4
03-22-2020	175	20	4
03-23-2020	187	20	4
03-24-2020	187	21	4
03-25-2020	208	21	4
03-26-2020	208	21	4
03-27-2020	223	21	4
03-28-2020	224	22	6
03-29-2020	224	22	6
03-30-2020	230	25	13
04-01-2020	236	26	13
04-02-2020	245	30	21
04-03-2020	245	30	21
04-04-2020	259	32	27
04-05-2020	266	32	35
04-06-2020	266	32	35
04-07-2020	279	34	40
