Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	1	0	0
03-03-2020	1	0	0
03-04-2020	1	0	0
03-05-2020	5	0	0
03-06-2020	5	0	0
03-07-2020	5	0	0
03-08-2020	11	0	0
03-09-2020	15	0	0
03-10-2020	20	0	1
03-11-2020	21	0	1
03-12-2020	45	0	1
03-13-2020	86	0	1
03-14-2020	103	0	1
03-15-2020	103	0	1
03-16-2020	118	0	2
03-17-2020	171	0	6
03-18-2020	171	0	6
03-19-2020	274	0	6
03-20-2020	344	0	8
03-21-2020	392	0	16
03-22-2020	511	0	17
03-23-2020	562	0	19
03-24-2020	767	1	28
03-25-2020	900	2	29
03-26-2020	1012	3	33
03-27-2020	1104	3	35
03-28-2020	1203	4	37
03-29-2020	1299	8	66
03-30-2020	1453	8	115
04-01-2020	1720	16	264
04-02-2020	1885	21	328
04-03-2020	2039	25	351
04-04-2020	2179	29	420
04-05-2020	2402	34	488
04-06-2020	2605	38	551
04-07-2020	2795	41	615
