Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	1	0	0
03-03-2020	2	0	0
03-04-2020	4	0	0
03-05-2020	4	0	0
03-06-2020	4	0	0
03-07-2020	4	0	0
03-08-2020	4	0	1
03-09-2020	4	0	1
03-10-2020	4	0	1
03-11-2020	4	0	1
03-12-2020	4	0	1
03-13-2020	10	0	1
03-14-2020	10	0	1
03-15-2020	24	0	1
03-16-2020	24	0	2
03-17-2020	26	0	2
03-18-2020	31	0	2
03-19-2020	31	0	2
03-20-2020	38	0	2
03-21-2020	47	0	5
03-22-2020	67	0	5
03-23-2020	79	0	8
03-24-2020	86	0	8
03-25-2020	99	0	9
03-26-2020	105	0	9
03-27-2020	119	0	11
03-28-2020	130	0	18
03-29-2020	142	0	27
03-30-2020	162	0	27
04-01-2020	190	1	45
04-02-2020	195	1	55
04-03-2020	207	1	66
04-04-2020	219	2	72
04-05-2020	222	2	82
04-06-2020	226	2	92
04-07-2020	237	2	105
