Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	1	0	0
03-09-2020	1	0	0
03-10-2020	5	0	0
03-11-2020	12	0	0
03-12-2020	19	0	0
03-13-2020	35	0	0
03-14-2020	46	0	0
03-15-2020	48	0	0
03-16-2020	55	0	1
03-17-2020	65	0	1
03-18-2020	83	0	1
03-19-2020	103	0	1
03-20-2020	135	1	1
03-21-2020	171	1	1
03-22-2020	222	2	2
03-23-2020	249	3	3
03-24-2020	303	3	15
03-25-2020	384	4	15
03-26-2020	384	1	0
03-27-2020	457	1	0
03-28-2020	659	10	0
03-29-2020	741	13	0
03-30-2020	785	16	0
04-01-2020	1060	28	0
04-02-2020	1171	31	0
04-03-2020	1476	39	0
04-04-2020	1624	44	0
04-05-2020	1908	51	0
04-06-2020	2200	58	0
04-07-2020	2447	61	0
