Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	1	0	0
01-24-2020	3	0	0
01-25-2020	3	0	0
01-26-2020	4	0	0
01-27-2020	5	0	0
01-28-2020	7	0	0
01-29-2020	7	0	0
01-30-2020	10	0	0
01-31-2020	13	0	0
02-01-2020	16	0	0
02-02-2020	18	0	0
02-03-2020	18	0	0
02-04-2020	24	0	0
02-05-2020	28	0	0
02-06-2020	28	0	0
02-07-2020	30	0	0
02-08-2020	33	0	2
02-09-2020	40	0	2
02-10-2020	45	0	2
02-11-2020	47	0	9
02-12-2020	50	0	15
02-13-2020	58	0	15
02-14-2020	67	0	17
02-15-2020	72	0	18
02-16-2020	75	0	18
02-17-2020	77	0	24
02-18-2020	81	0	29
02-19-2020	84	0	34
02-20-2020	84	0	34
02-21-2020	85	0	37
02-22-2020	85	0	37
02-23-2020	89	0	51
02-24-2020	89	0	51
02-25-2020	91	0	53
02-26-2020	93	0	62
02-27-2020	93	0	62
02-28-2020	93	0	62
02-29-2020	102	0	72
03-01-2020	106	0	72
03-02-2020	108	0	78
03-03-2020	110	0	78
03-04-2020	110	0	78
03-05-2020	117	0	78
03-06-2020	130	0	78
03-07-2020	138	0	78
03-08-2020	150	0	78
03-09-2020	150	0	78
03-10-2020	160	0	78
03-11-2020	178	0	96
03-12-2020	178	0	96
03-13-2020	200	0	97
03-14-2020	212	0	105
03-15-2020	226	0	105
03-16-2020	243	0	109
03-17-2020	266	0	114
03-18-2020	313	0	114
03-19-2020	345	0	114
03-20-2020	385	0	124
03-21-2020	432	2	140
03-22-2020	455	2	144
03-23-2020	509	2	152
03-24-2020	558	2	156
03-25-2020	631	2	160
03-26-2020	683	2	172
03-27-2020	732	2	183
03-28-2020	802	2	198
03-29-2020	844	3	212
03-30-2020	879	3	228
04-01-2020	1000	3	245
04-02-2020	1049	4	266
04-03-2020	1114	5	282
04-04-2020	1189	6	297
04-05-2020	1309	6	320
04-06-2020	1375	6	344
04-07-2020	1481	6	377
