Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	1	0	0
03-06-2020	1	0	0
03-07-2020	1	0	0
03-08-2020	3	0	0
03-09-2020	3	0	0
03-10-2020	7	0	0
03-11-2020	13	0	0
03-12-2020	17	0	0
03-13-2020	24	0	0
03-14-2020	38	0	0
03-15-2020	51	0	0
03-16-2020	62	0	0
03-17-2020	62	0	0
03-18-2020	116	0	0
03-19-2020	150	0	0
03-20-2020	202	0	0
03-21-2020	240	0	0
03-22-2020	274	0	2
03-23-2020	402	0	4
03-24-2020	554	0	4
03-25-2020	709	0	12
03-26-2020	927	0	12
03-27-2020	1170	1	31
03-28-2020	1187	1	31
03-29-2020	1280	2	31
03-30-2020	1326	3	31
04-01-2020	1380	5	50
04-02-2020	1462	5	50
04-03-2020	1505	9	95
04-04-2020	1585	9	95
04-05-2020	1655	11	95
04-06-2020	1686	12	95
04-07-2020	1749	13	95
