Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	2	0	0
02-10-2020	2	0	0
02-11-2020	2	0	0
02-12-2020	2	0	0
02-13-2020	2	0	0
02-14-2020	2	0	0
02-15-2020	2	0	2
02-16-2020	2	0	2
02-17-2020	2	0	2
02-18-2020	2	0	2
02-19-2020	2	0	2
02-20-2020	2	0	2
02-21-2020	2	0	2
02-22-2020	2	0	2
02-23-2020	2	0	2
02-24-2020	2	0	2
02-25-2020	6	0	2
02-26-2020	13	0	2
02-27-2020	15	0	2
02-28-2020	32	0	2
02-29-2020	45	0	2
03-01-2020	84	0	2
03-02-2020	120	0	2
03-03-2020	165	1	2
03-04-2020	222	2	2
03-05-2020	259	3	2
03-06-2020	400	5	2
03-07-2020	500	10	30
03-08-2020	673	17	30
03-09-2020	1073	28	32
03-10-2020	1695	35	32
03-11-2020	2277	54	183
03-12-2020	2277	55	183
03-13-2020	5232	133	193
03-14-2020	6391	195	517
03-15-2020	7798	289	517
03-16-2020	9942	342	530
03-17-2020	11748	533	1028
03-18-2020	13910	623	1081
03-19-2020	17963	830	1107
03-20-2020	20410	1043	1588
03-21-2020	25374	1375	2125
03-22-2020	28603	1756	2125
03-23-2020	35136	2311	3355
03-24-2020	39885	2808	3794
03-25-2020	49515	3647	5367
03-26-2020	57786	4365	7015
03-27-2020	65719	5138	9357
03-28-2020	73235	5982	12285
03-29-2020	80110	6803	14709
03-30-2020	87956	7716	16780
04-01-2020	104118	9387	22647
04-02-2020	112065	10348	26743
04-03-2020	119199	11198	30513
04-04-2020	126168	11947	34219
04-05-2020	131646	12641	38080
04-06-2020	136675	13341	40437
04-07-2020	141942	14045	43208
