Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	1	0	0
02-01-2020	1	0	0
02-02-2020	1	0	0
02-03-2020	1	0	0
02-04-2020	1	0	0
02-05-2020	1	0	0
02-06-2020	1	0	0
02-07-2020	1	0	0
02-08-2020	1	0	0
02-09-2020	1	0	0
02-10-2020	1	0	0
02-11-2020	1	0	0
02-12-2020	1	0	0
02-13-2020	1	0	0
02-14-2020	1	0	0
02-15-2020	1	0	0
02-16-2020	1	0	0
02-17-2020	1	0	0
02-18-2020	1	0	0
02-19-2020	1	0	0
02-20-2020	1	0	0
02-21-2020	1	0	0
02-22-2020	1	0	0
02-23-2020	1	0	0
02-24-2020	1	0	0
02-25-2020	1	0	0
02-26-2020	2	0	0
02-27-2020	7	0	0
02-28-2020	7	0	0
02-29-2020	12	0	0
03-01-2020	14	0	0
03-02-2020	15	0	0
03-03-2020	21	0	0
03-04-2020	35	0	0
03-05-2020	94	0	0
03-06-2020	101	0	0
03-07-2020	161	0	0
03-08-2020	203	0	0
03-09-2020	248	0	1
03-10-2020	355	0	1
03-11-2020	500	1	1
03-12-2020	599	1	1
03-13-2020	814	1	1
03-14-2020	961	2	1
03-15-2020	1022	3	1
03-16-2020	1103	6	1
03-17-2020	1190	7	1
03-18-2020	1279	10	1
03-19-2020	1439	11	16
03-20-2020	1639	16	16
03-21-2020	1763	20	16
03-22-2020	1931	21	16
03-23-2020	2046	25	16
03-24-2020	2286	36	16
03-25-2020	2526	62	16
03-26-2020	2840	77	16
03-27-2020	3069	105	16
03-28-2020	3447	105	16
03-29-2020	3700	110	16
03-30-2020	4028	146	16
04-01-2020	4947	239	103
04-02-2020	5568	308	103
04-03-2020	6131	358	205
04-04-2020	6443	373	205
04-05-2020	6830	401	205
04-06-2020	7206	477	205
04-07-2020	7693	591	205
