Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	1	0	0
02-26-2020	1	0	0
02-27-2020	8	0	0
02-28-2020	8	0	0
02-29-2020	18	0	0
03-01-2020	27	0	0
03-02-2020	42	0	0
03-03-2020	56	0	2
03-04-2020	90	0	3
03-05-2020	114	1	3
03-06-2020	214	1	3
03-07-2020	268	1	3
03-08-2020	337	2	3
03-09-2020	374	2	3
03-10-2020	491	3	3
03-11-2020	652	4	4
03-12-2020	652	4	4
03-13-2020	1139	11	4
03-14-2020	1359	13	4
03-15-2020	2200	14	4
03-16-2020	2200	14	4
03-17-2020	2700	27	4
03-18-2020	3028	28	15
03-19-2020	4075	41	15
03-20-2020	5294	54	15
03-21-2020	6575	75	15
03-22-2020	7474	98	131
03-23-2020	8795	120	131
03-24-2020	9877	122	131
03-25-2020	10897	153	131
03-26-2020	11811	191	131
03-27-2020	12928	231	1530
03-28-2020	14076	264	1530
03-29-2020	14829	300	1595
03-30-2020	15922	359	1823
04-01-2020	17768	488	2967
04-02-2020	18827	536	4013
04-03-2020	19606	591	4846
04-04-2020	20505	666	6415
04-05-2020	21100	715	6415
04-06-2020	21657	765	8056
04-07-2020	22253	821	8704
