Date	Confirmed	Deaths	Recovered
01-22-2020	1	0	0
01-23-2020	1	0	0
01-24-2020	3	0	0
01-25-2020	3	0	0
01-26-2020	4	0	0
01-27-2020	5	0	0
01-28-2020	8	0	0
01-29-2020	8	0	0
01-30-2020	9	0	0
01-31-2020	10	0	0
02-01-2020	10	0	0
02-02-2020	10	0	0
02-03-2020	10	0	0
02-04-2020	11	0	0
02-05-2020	11	0	0
02-06-2020	16	0	1
02-07-2020	16	0	1
02-08-2020	17	0	1
02-09-2020	18	0	1
02-10-2020	18	0	1
02-11-2020	18	0	1
02-12-2020	18	0	1
02-13-2020	18	0	1
02-14-2020	18	0	2
02-15-2020	18	0	2
02-16-2020	20	1	2
02-17-2020	22	1	2
02-18-2020	22	1	2
02-19-2020	23	1	2
02-20-2020	24	1	2
02-21-2020	26	1	2
02-22-2020	26	1	2
02-23-2020	28	1	2
02-24-2020	30	1	5
02-25-2020	31	1	5
02-26-2020	32	1	5
02-27-2020	32	1	5
02-28-2020	34	1	6
02-29-2020	39	1	9
03-01-2020	40	1	9
03-02-2020	41	1	12
03-03-2020	42	1	12
03-04-2020	42	1	12
03-05-2020	44	1	12
03-06-2020	45	1	12
03-07-2020	45	1	12
03-08-2020	45	1	13
03-09-2020	45	1	15
03-10-2020	0	0	0
03-11-2020	48	1	17
03-12-2020	49	1	20
03-13-2020	50	1	20
03-14-2020	53	1	20
03-15-2020	59	1	20
03-16-2020	67	1	20
03-17-2020	77	1	22
03-18-2020	100	1	22
03-19-2020	108	1	26
03-20-2020	135	2	26
03-21-2020	153	2	28
03-22-2020	169	2	28
03-23-2020	195	2	28
03-24-2020	215	2	29
03-25-2020	235	2	29
03-26-2020	252	2	29
03-27-2020	267	2	29
03-28-2020	283	2	30
03-29-2020	298	2	30
03-30-2020	306	5	39
04-01-2020	329	5	39
04-02-2020	339	5	45
04-03-2020	348	5	50
04-04-2020	355	5	50
04-05-2020	363	5	50
04-06-2020	373	5	57
04-07-2020	376	5	57
