Date	Confirmed	Deaths	Recovered
01-22-2020	2	0	0
01-23-2020	3	0	0
01-24-2020	5	0	0
01-25-2020	7	0	0
01-26-2020	8	0	2
01-27-2020	8	0	2
01-28-2020	14	0	5
01-29-2020	14	0	5
01-30-2020	14	0	5
01-31-2020	19	0	5
02-01-2020	19	0	5
02-02-2020	19	0	5
02-03-2020	19	0	5
02-04-2020	25	0	5
02-05-2020	25	0	5
02-06-2020	25	0	5
02-07-2020	25	0	5
02-08-2020	32	0	10
02-09-2020	32	0	10
02-10-2020	32	0	10
02-11-2020	33	0	10
02-12-2020	33	0	10
02-13-2020	33	0	12
02-14-2020	33	0	12
02-15-2020	33	0	12
02-16-2020	34	0	14
02-17-2020	35	0	15
02-18-2020	35	0	15
02-19-2020	35	0	15
02-20-2020	35	0	15
02-21-2020	35	0	17
02-22-2020	35	0	17
02-23-2020	35	0	21
02-24-2020	35	0	21
02-25-2020	37	0	22
02-26-2020	40	0	22
02-27-2020	40	0	22
02-28-2020	41	0	28
02-29-2020	42	0	28
03-01-2020	42	1	28
03-02-2020	43	1	31
03-03-2020	43	1	31
03-04-2020	43	1	31
03-05-2020	47	1	31
03-06-2020	48	1	31
03-07-2020	50	1	31
03-08-2020	50	1	31
03-09-2020	50	1	31
03-10-2020	53	1	33
03-11-2020	59	1	34
03-12-2020	70	1	34
03-13-2020	75	1	35
03-14-2020	82	1	35
03-15-2020	114	1	35
03-16-2020	147	1	35
03-17-2020	177	1	41
03-18-2020	212	1	42
03-19-2020	272	1	42
03-20-2020	322	1	42
03-21-2020	411	1	42
03-22-2020	599	1	44
03-23-2020	721	1	52
03-24-2020	827	4	52
03-25-2020	934	4	70
03-26-2020	1045	4	88
03-27-2020	1136	5	97
03-28-2020	1245	6	97
03-29-2020	1388	7	97
03-30-2020	1524	9	229
04-01-2020	1771	12	505
04-02-2020	1875	15	505
04-03-2020	1978	19	612
04-04-2020	2067	20	674
04-05-2020	2169	23	793
04-06-2020	2220	26	793
04-07-2020	2258	27	888
