Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	1	0	0
03-12-2020	1	0	0
03-13-2020	5	0	0
03-14-2020	5	0	0
03-15-2020	6	0	0
03-16-2020	18	0	0
03-17-2020	47	1	0
03-18-2020	98	1	0
03-19-2020	192	3	0
03-20-2020	359	4	0
03-21-2020	670	9	0
03-22-2020	1236	30	0
03-23-2020	1529	37	0
03-24-2020	1872	44	0
03-25-2020	2433	59	26
03-26-2020	3629	75	26
03-27-2020	5698	92	42
03-28-2020	7402	108	70
03-29-2020	9217	131	105
03-30-2020	10827	168	162
04-01-2020	15679	277	333
04-02-2020	18135	356	415
04-03-2020	20921	425	484
04-04-2020	23934	501	786
04-05-2020	27069	574	1042
04-06-2020	30217	649	1326
04-07-2020	34109	725	1582
