Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	4	0	0
01-30-2020	4	0	0
01-31-2020	4	0	0
02-01-2020	4	0	0
02-02-2020	5	0	0
02-03-2020	5	0	0
02-04-2020	5	0	0
02-05-2020	5	0	0
02-06-2020	5	0	0
02-07-2020	5	0	0
02-08-2020	7	0	0
02-09-2020	7	0	0
02-10-2020	8	0	0
02-11-2020	8	0	0
02-12-2020	8	0	1
02-13-2020	8	0	1
02-14-2020	8	0	1
02-15-2020	8	0	3
02-16-2020	9	0	4
02-17-2020	9	0	4
02-18-2020	9	0	4
02-19-2020	9	0	4
02-20-2020	9	0	4
02-21-2020	9	0	4
02-22-2020	13	0	4
02-23-2020	13	0	4
02-24-2020	13	0	4
02-25-2020	13	0	4
02-26-2020	13	0	4
02-27-2020	13	0	4
02-28-2020	19	0	5
02-29-2020	21	0	5
03-01-2020	21	0	5
03-02-2020	21	0	5
03-03-2020	27	0	5
03-04-2020	27	0	5
03-05-2020	29	0	5
03-06-2020	29	0	5
03-07-2020	45	0	7
03-08-2020	45	0	7
03-09-2020	45	0	7
03-10-2020	74	0	12
03-11-2020	74	0	17
03-12-2020	85	0	17
03-13-2020	85	0	17
03-14-2020	85	0	17
03-15-2020	98	0	23
03-16-2020	98	0	23
03-17-2020	98	0	23
03-18-2020	113	0	26
03-19-2020	140	0	31
03-20-2020	140	2	31
03-21-2020	153	2	38
03-22-2020	153	2	38
03-23-2020	198	2	41
03-24-2020	248	2	45
03-25-2020	333	2	52
03-26-2020	333	2	52
03-27-2020	405	2	52
03-28-2020	468	2	52
03-29-2020	570	3	58
03-30-2020	611	5	61
04-01-2020	814	8	61
04-02-2020	1024	8	96
04-03-2020	1264	9	108
04-04-2020	1505	10	125
04-05-2020	1799	10	144
04-06-2020	2076	11	167
04-07-2020	2359	12	186
