Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	2	0	0
02-01-2020	2	0	0
02-02-2020	2	0	0
02-03-2020	2	0	0
02-04-2020	2	0	0
02-05-2020	2	0	0
02-06-2020	2	0	0
02-07-2020	3	0	0
02-08-2020	3	0	0
02-09-2020	3	0	0
02-10-2020	8	0	0
02-11-2020	8	0	0
02-12-2020	9	0	1
02-13-2020	9	0	1
02-14-2020	9	0	1
02-15-2020	9	0	1
02-16-2020	9	0	8
02-17-2020	9	0	8
02-18-2020	9	0	8
02-19-2020	9	0	8
02-20-2020	9	0	8
02-21-2020	9	0	8
02-22-2020	9	0	8
02-23-2020	9	0	8
02-24-2020	13	0	8
02-25-2020	13	0	8
02-26-2020	13	0	8
02-27-2020	15	0	8
02-28-2020	20	0	8
02-29-2020	23	0	8
03-01-2020	36	0	8
03-02-2020	40	0	8
03-03-2020	51	0	8
03-04-2020	85	0	8
03-05-2020	115	1	8
03-06-2020	163	2	8
03-07-2020	206	2	18
03-08-2020	273	3	18
03-09-2020	321	4	18
03-10-2020	382	6	18
03-11-2020	459	8	19
03-12-2020	459	8	19
03-13-2020	801	8	19
03-14-2020	1143	21	19
03-15-2020	1144	21	19
03-16-2020	1551	56	21
03-17-2020	1960	56	53
03-18-2020	2642	72	67
03-19-2020	2716	138	67
03-20-2020	4014	178	67
03-21-2020	5067	234	67
03-22-2020	5741	282	95
03-23-2020	6726	336	140
03-24-2020	8164	423	140
03-25-2020	9640	466	140
03-26-2020	11812	580	150
03-27-2020	14745	761	151
03-28-2020	17312	1021	151
03-29-2020	19780	1231	151
03-30-2020	22453	1411	171
04-01-2020	29865	2357	179
04-02-2020	34173	2926	192
04-03-2020	38689	3611	208
04-04-2020	42477	4320	215
04-05-2020	48436	4943	229
04-06-2020	52279	5385	287
04-07-2020	55949	6171	325
