Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	0	0	0
02-28-2020	0	0	0
02-29-2020	0	0	0
03-01-2020	0	0	0
03-02-2020	0	0	0
03-03-2020	0	0	0
03-04-2020	0	0	0
03-05-2020	0	0	0
03-06-2020	0	0	0
03-07-2020	0	0	0
03-08-2020	0	0	0
03-09-2020	0	0	0
03-10-2020	0	0	0
03-11-2020	0	0	0
03-12-2020	0	0	0
03-13-2020	0	0	0
03-14-2020	2	0	0
03-15-2020	10	0	0
03-16-2020	17	0	0
03-17-2020	33	0	0
03-18-2020	36	0	0
03-19-2020	42	0	0
03-20-2020	42	0	0
03-21-2020	70	0	0
03-22-2020	70	0	15
03-23-2020	77	0	15
03-24-2020	84	0	15
03-25-2020	91	0	15
03-26-2020	107	0	15
03-27-2020	107	1	31
03-28-2020	119	2	39
03-29-2020	119	2	39
03-30-2020	135	3	39
04-01-2020	143	3	41
04-02-2020	146	5	43
04-03-2020	153	7	52
04-04-2020	155	7	52
04-05-2020	159	7	52
04-06-2020	165	7	65
04-07-2020	165	7	65
