Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	2	0	0
01-24-2020	2	0	0
01-25-2020	2	0	0
01-26-2020	2	0	0
01-27-2020	2	0	0
01-28-2020	2	0	0
01-29-2020	2	0	0
01-30-2020	2	0	0
01-31-2020	2	0	0
02-01-2020	6	0	1
02-02-2020	6	0	1
02-03-2020	8	0	1
02-04-2020	8	0	1
02-05-2020	8	0	1
02-06-2020	10	0	1
02-07-2020	10	0	1
02-08-2020	13	0	1
02-09-2020	13	0	1
02-10-2020	14	0	1
02-11-2020	15	0	6
02-12-2020	15	0	6
02-13-2020	16	0	7
02-14-2020	16	0	7
02-15-2020	16	0	7
02-16-2020	16	0	7
02-17-2020	16	0	7
02-18-2020	16	0	7
02-19-2020	16	0	7
02-20-2020	16	0	7
02-21-2020	16	0	14
02-22-2020	16	0	14
02-23-2020	16	0	14
02-24-2020	16	0	14
02-25-2020	16	0	16
02-26-2020	16	0	16
02-27-2020	16	0	16
02-28-2020	16	0	16
02-29-2020	16	0	16
03-01-2020	16	0	16
03-02-2020	16	0	16
03-03-2020	16	0	16
03-04-2020	16	0	16
03-05-2020	16	0	16
03-06-2020	16	0	16
03-07-2020	18	0	16
03-08-2020	30	0	16
03-09-2020	30	0	16
03-10-2020	31	0	16
03-11-2020	38	0	16
03-12-2020	39	0	16
03-13-2020	47	0	16
03-14-2020	53	0	16
03-15-2020	56	0	16
03-16-2020	61	0	16
03-17-2020	66	0	16
03-18-2020	75	0	16
03-19-2020	85	0	16
03-20-2020	91	0	16
03-21-2020	94	0	17
03-22-2020	113	0	17
03-23-2020	123	0	17
03-24-2020	134	0	17
03-25-2020	141	0	17
03-26-2020	153	0	20
03-27-2020	163	0	20
03-28-2020	174	0	21
03-29-2020	188	0	25
03-30-2020	203	0	55
04-01-2020	218	0	63
04-02-2020	233	0	75
04-03-2020	237	0	85
04-04-2020	240	0	90
04-05-2020	241	0	90
04-06-2020	245	0	95
04-07-2020	249	0	123
