"Aruba"	ABW	105845
"Afghanistan"	AFG	37172386
"Angola"	AGO	30809762
"Albania"	ALB	2866376
"Andorra"	AND	77006
"United Arab Emirates"	ARE	9630959
"Argentina"	ARG	44494502
"Armenia"	ARM	2951776
"American Samoa"	ASM	55465
"Antigua and Barbuda"	ATG	96286
"Australia"	AUS	24992369
"Austria"	AUT	8847037
"Azerbaijan"	AZE	9942334
"Burundi"	BDI	11175378
"Belgium"	BEL	11422068
"Benin"	BEN	11485048
"Burkina Faso"	BFA	19751535
"Bangladesh"	BGD	161356039
"Bulgaria"	BGR	7024216
"Bahrain"	BHR	1569439
"Bahamas, The"	BHS	385640
"Bosnia and Herzegovina"	BIH	3323929
"Belarus"	BLR	9485386
"Belize"	BLZ	383071
"Bermuda"	BMU	63968
"Bolivia"	BOL	11353142
"Brazil"	BRA	209469333
"Barbados"	BRB	286641
"Brunei Darussalam"	BRN	428962
"Bhutan"	BTN	754394
"Botswana"	BWA	2254126
"Central African Republic"	CAF	4666377
"Canada"	CAN	37058856
"Switzerland"	CHE	8516543
"Channel Islands"	CHI	170499
"Chile"	CHL	18729160
"China"	CHN	1392730000
"Cote d'Ivoire"	CIV	25069229
"Cameroon"	CMR	25216237
"Congo, Dem. Rep."	COD	84068091
"Congo, Rep."	COG	5244363
"Colombia"	COL	49648685
"Comoros"	COM	832322
"Cabo Verde"	CPV	543767
"Costa Rica"	CRI	4999441
"Cuba"	CUB	11338138
"Curacao"	CUW	159849
"Cayman Islands"	CYM	64174
"Cyprus"	CYP	1189265
"Czech Republic"	CZE	10625695
"Germany"	DEU	82927922
"Djibouti"	DJI	958920
"Dominica"	DMA	71625
"Denmark"	DNK	5797446
"Dominican Republic"	DOM	10627165
"Algeria"	DZA	42228429
"Ecuador"	ECU	17084357
"Egypt, Arab Rep."	EGY	98423595
"Eritrea"	ERI	3213972
"Spain"	ESP	46723749
"Estonia"	EST	1320884
"Ethiopia"	ETH	109224559
"Finland"	FIN	5518050
"Fiji"	FJI	883483
"France"	FRA	66987244
"Faroe Islands"	FRO	48497
"Micronesia, Fed. Sts."	FSM	112640
"Gabon"	GAB	2119275
"United Kingdom"	GBR	66488991
"Georgia"	GEO	3731000
"Ghana"	GHA	29767108
"Gibraltar"	GIB	33718
"Guinea"	GIN	12414318
"Gambia, The"	GMB	2280102
"Guinea-Bissau"	GNB	1874309
"Equatorial Guinea"	GNQ	1308974
"Greece"	GRC	10727668
"Grenada"	GRD	111454
"Greenland"	GRL	56025
"Guatemala"	GTM	17247807
"Guam"	GUM	165768
"Guyana"	GUY	779004
"Hong Kong SAR, China"	HKG	7451000
"Honduras"	HND	9587522
"Croatia"	HRV	4089400
"Haiti"	HTI	11123176
"Hungary"	HUN	9768785
"Indonesia"	IDN	267663435
"Isle of Man"	IMN	84077
"India"	IND	1352617328
"Ireland"	IRL	4853506
"Iran, Islamic Rep."	IRN	81800269
"Iraq"	IRQ	38433600
"Iceland"	ISL	353574
"Israel"	ISR	8883800
"Italy"	ITA	60431283
"Jamaica"	JAM	2934855
"Jordan"	JOR	9956011
"Japan"	JPN	126529100
"Kazakhstan"	KAZ	18276499
"Kenya"	KEN	51393010
"Kyrgyz Republic"	KGZ	6315800
"Cambodia"	KHM	16249798
"Kiribati"	KIR	115847
"St. Kitts and Nevis"	KNA	52441
"Korea, Rep."	KOR	51635256
"Kuwait"	KWT	4137309
"Latin America & Caribbean (excluding high income)"	LAC	609013934
"Lao PDR"	LAO	7061507
"Lebanon"	LBN	6848925
"Liberia"	LBR	4818977
"Libya"	LBY	6678567
"St. Lucia"	LCA	181889
"Latin America & Caribbean"	LCN	641357515
"Liechtenstein"	LIE	37910
"Sri Lanka"	LKA	21670000
"Lesotho"	LSO	2108132
"Lithuania"	LTU	2789533
"Luxembourg"	LUX	607728
"Latvia"	LVA	1926542
"Macao SAR, China"	MAC	631636
"St. Martin (French part)"	MAF	37264
"Morocco"	MAR	36029138
"Monaco"	MCO	38682
"Moldova"	MDA	3545883
"Madagascar"	MDG	26262368
"Maldives"	MDV	515696
"Mexico"	MEX	126190788
"Marshall Islands"	MHL	58413
"North Macedonia"	MKD	2082958
"Mali"	MLI	19077690
"Malta"	MLT	483530
"Myanmar"	MMR	53708395
"Montenegro"	MNE	622345
"Mongolia"	MNG	3170208
"Northern Mariana Islands"	MNP	56882
"Mozambique"	MOZ	29495962
"Mauritania"	MRT	4403319
"Mauritius"	MUS	1265303
"Malawi"	MWI	18143315
"Malaysia"	MYS	31528585
"North America"	NAC	364290258
"Namibia"	NAM	2448255
"New Caledonia"	NCL	284060
"Niger"	NER	22442948
"Nigeria"	NGA	195874740
"Nicaragua"	NIC	6465513
"Netherlands"	NLD	17231017
"Norway"	NOR	5314336
"Nepal"	NPL	28087871
"Nauru"	NRU	12704
"New Zealand"	NZL	4885500
"Oman"	OMN	4829483
"Pakistan"	PAK	212215030
"Panama"	PAN	4176873
"Peru"	PER	31989256
"Philippines"	PHL	106651922
"Palau"	PLW	17907
"Papua New Guinea"	PNG	8606316
"Poland"	POL	37978548
"Puerto Rico"	PRI	3195153
"Korea, Dem. People’s Rep."	PRK	25549819
"Portugal"	PRT	10281762
"Paraguay"	PRY	6956071
"West Bank and Gaza"	PSE	4569087
"French Polynesia"	PYF	277679
"Qatar"	QAT	2781677
"Romania"	ROU	19473936
"Russian Federation"	RUS	144478050
"Rwanda"	RWA	12301939
"Saudi Arabia"	SAU	33699947
"Sudan"	SDN	41801533
"Senegal"	SEN	15854360
"Singapore"	SGP	5638676
"Solomon Islands"	SLB	652858
"Sierra Leone"	SLE	7650154
"El Salvador"	SLV	6420744
"San Marino"	SMR	33785
"Somalia"	SOM	15008154
"Serbia"	SRB	6982084
"South Sudan"	SSD	10975920
"Sao Tome and Principe"	STP	211028
"Suriname"	SUR	575991
"Slovak Republic"	SVK	5447011
"Slovenia"	SVN	2067372
"Sweden"	SWE	10183175
"Eswatini"	SWZ	1136191
"Sint Maarten (Dutch part)"	SXM	40654
"Seychelles"	SYC	96762
"Syrian Arab Republic"	SYR	16906283
"Turks and Caicos Islands"	TCA	37665
"Chad"	TCD	15477751
"Togo"	TGO	7889094
"Thailand"	THA	69428524
"Tajikistan"	TJK	9100837
"Turkmenistan"	TKM	5850908
"Timor-Leste"	TLS	1267972
"Tonga"	TON	103197
"Trinidad and Tobago"	TTO	1389858
"Tunisia"	TUN	11565204
"Turkey"	TUR	82319724
"Tuvalu"	TUV	11508
"Tanzania"	TZA	56318348
"Uganda"	UGA	42723139
"Ukraine"	UKR	44622516
"Uruguay"	URY	3449299
"United States"	USA	327167434
"Uzbekistan"	UZB	32955400
"St. Vincent and the Grenadines"	VCT	110210
"Venezuela, RB"	VEN	28870195
"British Virgin Islands"	VGB	29802
"Virgin Islands (U.S.)"	VIR	106977
"Vietnam"	VNM	95540395
"Vanuatu"	VUT	292680
"Samoa"	WSM	196130
"Kosovo"	XKX	1845300
"Yemen, Rep."	YEM	28498687
"South Africa"	ZAF	57779622
"Zambia"	ZMB	17351822
"Zimbabwe"	ZWE	14439018
